出品者SKU	ASIN 1	商品名	商品の説明	出品ID	価格	数量	出品日	商品IDタイプ	コンディション説明	コンディション	国外へ配送可	迅速な配送	商品ID	在庫数	フルフィルメント・チャンネル	法人価格	数量割引のタイプ	数量の下限1	数量割引1	数量の下限2	数量割引2	数量の下限3	数量割引3	数量の下限4	数量割引4	数量の下限5	数量割引5	使用しない支払い方法	配送日時指定SKUリスト	merchant-shipping-group	ポイント	商品税コード	ステータス	出品価格の下限	出品価格の上限	累積購入割引価格タイプ	累積購入割引下限1	累積購入割引価格1	累積購入割引下限2	累積購入割引価格2	累積購入割引下限3	累積購入割引価格3	調達タイプ
01-ESOX-AV8Q	B093JZ2JB9	【Smart-Bear】W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (A, s)		0427Y00NBVO	1380		2021/04/27 11:09:23 JST	3		11			703556069377		AMAZON_JP															移行された配送パターン	14		Active										INSTOCK
06-YRWT-IFB9	B09Y985544	【Smart-KM】S018 ニーハイストッキング ガーターストッキング レディース 膝上 セクシー 女装 靴下 女性用 フリーサイズ ２点セット (ブラック)		0419Z541EHW	798		2022/04/19 21:15:05 JST	3		11			703556070168		AMAZON_JP															移行された配送パターン	0		Active										INSTOCK
08-AUIO-RMCP	B07WYQ47NG	【Smart-Bear】W106 女の子 靴下 ガールズ くつした ストッキング 子供 ベイビー ダンス用 子ども お姫様の靴下 学生用 厚い 暖かい 秋 冬 防寒ウールソックス 入学式 通園 通学 発表会 くつした 3足セット (S:11～13cm(1-3歳))		0824VK7I73A	1080	5	2019/08/24 22:11:59 JST	3		11			703556064532	0	DEFAULT															移行された配送パターン	11		Active										INSTOCK
0D-X76G-A4UZ	B0B1VKTV1B	【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ライムイエローネコ, XL)		0520ZO19Y69	2480		2022/05/20 21:43:09 JST	3		11			703556070304		AMAZON_JP															移行された配送パターン	25		Active										INSTOCK
0I-SDHD-P10S	B07YJ636ML	【Smart-KM】N011 3.5mm有線 イヤフォン マイク ボリューム操作可能 イヤホンマイク 互換性 iPhone6s/iPhone6s Plus/iPhone6/iPhone6 Plus/5s/5c/5/iPad/iPod/Android/PC対応 イヤホン リモコン付き マイク付き iOSとAndriod全対応 (改進版-黒)	対応機種：iPhone、iPad、Androidスマホなど多機種のスマートに対応できます 。 通勤、ジム、お買い物、スポーツなど様々な場合で大歓迎。 多機能ボタン：片手で押すだけで、音量の調節、音楽の再生/停止/曲送り/曲戻し、通話の応答/終了/拒否などは簡単に操作できます。トレーニング、ドライブ、ウォーキング、デスクワーク、作業中、通勤/通学、電話会議など、様々な日常のシーンで快適に楽しめます。 マイク付イヤフォンですので他の仕事をやりながらも通話が可能です。耳にぴったりと密着して外の音を遮断するので、音楽を最大限に楽しむことができます。遮音性と音漏れ防止に注意したので地下鉄などでの使用も安心できます。 高音質マイク、ノイズキャンセリング機能より、息や周囲の雑音を拾いにくい。交通機関、レストランなど様々なシーンで使えます。厳選した部品で、音が粒も感じれるほどクリアで、安定性&バランス感両立する高音質なワイヤレスイヤホンです。純音信号がそのまま高速に伝送し、明瞭な高音域から、豊かな中域、迫力の重低音までどの音域もクリアな音質でバランスよく実感できます。 当イヤフォン イヤポッドのデザインは耳の形状に基づいていますので普通のイヤーバット式よりも快適に感じられます。iPhoneの付属イヤホンが壊れた方、予備、ランニング等に最適。	0912YPA1RYC	850	10	2021/09/12 11:26:44 JST	1		11			B07YJ636ML	0	DEFAULT															移行された配送パターン	0		Active										INSTOCK
0L-8U5H-FML5	B07SSHRDYL	【Smart-Bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (XXL, グレー)		0607VZ0K5IC	2380		2019/06/08 08:49:08 JST	3		11			703556063481		AMAZON_JP															移行された配送パターン	24		Active										INSTOCK
0M-3ELQ-5SV4	B088DBY77F	【Smart-Bear】W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (菊柄-男, L:15〜18cm(5-7歳))		0509XDTO2P5	1380		2020/05/09 20:27:37 JST	3		11			703556067922		AMAZON_JP															移行された配送パターン	14		Active										INSTOCK
0R-13SI-4BUS	B089WJCGT7	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_15_point_0_centimeters)		0609XL9FWY0	2780		2020/06/09 22:41:06 JST	3		11			703556068264		AMAZON_JP															移行された配送パターン	28		Active										INSTOCK
0R-RVC0-FYJE	B08L537TYN	【Smart-Bear】W004 子供の靴下 動物柄 通学 通園 キッズ ソックス 女の子 ソックス カラーフル メッシュ素材 5足セット (XL)		1013XSSN5Z6	1580	3	2020/10/13 18:23:49 JST	3		11			703556069131	0	DEFAULT															移行された配送パターン	16		Active										INSTOCK
0W-RCOB-4NRD	B0B1VM8X4N	【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ブルー恐竜, L)		0520ZO42Y86	2480		2022/05/20 21:43:09 JST	3		11			703556070397		AMAZON_JP															移行された配送パターン	25		Active										INSTOCK
