amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	tax-collection-model	tax-collection-responsible-party	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	payment-method-details	item-extensions-data	points-granted	is-business-order	purchase-order-number	price-designation	buyer-company-name	customized-url	customized-page	is-replacement-order	is-exchange-order	original-order-id	licensee-name	license-number	license-state	license-expiration-date	is-transparency	default-ship-from-address-name	default-ship-from-address-field-1	default-ship-from-address-field-2	default-ship-from-address-field-3	default-ship-from-city	default-ship-from-state	default-ship-from-country	default-ship-from-postal-code	actual-ship-from-address-name	actual-ship-from-address-field-1	actual-ship-from-address-field-2	actual-ship-from-address-field-3	actual-ship-from-city	actual-ship-from-state	actual-ship-from-country	actual-ship-from-postal-code	is-ispu-order	store-chain-store-id	is-buyer-requested-cancellation	buyer-requested-cancel-reason	ioss-number	serial-numbers	is-shipping-settings-automation-enabled	ssa-carrier	ssa-ship-method 
503-4365903-5721460	503-4365903-5721460	2023-08-07T16:42:43+09:00	2023-08-07T16:42:48+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	NR-5Z4P-2YBS	B07RNDMDMY		Unshipped			1	JPY	1380.0									静岡県	433-8124	JP		Standard		14	false						false	false						false																	false		false				false		
250-1221152-4407019	250-1221152-4407019	2023-08-07T15:00:11+09:00	2023-08-07T15:05:32+09:00	Cancelled	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	91-7A3K-7U8I	B07RRJ3RVV		Cancelled			0											宮城県	989-3128	JP		Standard			false						false	false						false																	false		false				false		
503-7417456-4218233	503-7417456-4218233	2023-08-07T14:07:49+09:00	2023-08-07T14:07:54+09:00	Pending	Amazon	Amazon.co.jp			Standard	[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロ	HU-4C3A-YQ59	B07RN3T64S		Unshipped			1	JPY	2380.0									愛知県	453-0839	JP	JP Core Free Shipping  2016/03/29 6-38-40-593	Standard		24	false						false	false						false																	false		false				false		
250-0768361-9919816		2023-08-07T13:31:16+09:00	2023-08-07T16:37:47+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】 E015 スマートフォン用 スマホリング 持ちやすい リングスタンド ホールドリング 落下防止 星型 ☆型 スター型 (ブラック)	R2-MSJY-7BCU	B075HLBJ6C	1	Shipped			1	JPY	398.0	29.0								岐阜県	500-8384	JP		Standard		4	false						false	false						false	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	false		false				true	郵便局	クリックポスト
249-5025374-4735829	249-5025374-4735829	2023-08-07T11:44:37+09:00	2023-08-07T11:44:41+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	NR-5Z4P-2YBS	B07RNDMDMY		Unshipped			1	JPY	1380.0									東京都	152-0003	JP		Standard		14	false						false	false						false																	false		false				false		
503-4741212-6236635	503-4741212-6236635	2023-08-07T01:39:31+09:00	2023-08-07T01:39:39+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	NR-5Z4P-2YBS	B07RNDMDMY		Unshipped			1	JPY	1380.0									東京都	156-0057	JP		Standard		14	false						false	false						false																	false		false				false		
249-0309768-3878266		2023-08-06T20:47:09+09:00	2023-08-06T23:08:39+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】 E015 スマートフォン用 スマホリング 持ちやすい リングスタンド ホールドリング 落下防止 星型 ☆型 スター型 (ブラック)	R2-MSJY-7BCU	B075HLBJ6C	1	Shipped			1	JPY	398.0	29.0								千葉県	272-0805	JP		Standard		4	false						false	false						false	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	false		false				true	郵便局	クリックポスト
503-7338818-0139025	503-7338818-0139025	2023-08-06T19:57:03+09:00	2023-08-07T02:02:15+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	JQ-MLRE-AH9L	B07C7NS57M		Shipped			1	JPY	718.0	53.0								東京都	121-0824	JP		Standard		7	false						false	false						false																	false		false				false		
503-7110445-2689457	503-7110445-2689457	2023-08-06T19:11:54+09:00	2023-08-07T11:08:12+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】C034 ミニ充電器 アップルウォッチ充電器 置くだけ充電パッド 急速充電対応 Wireless PowerPort ワイヤレス	IR-I1X3-ET6M	B07S4K7DXF		Shipped			1	JPY	999.0	74.0								埼玉県	332-0023	JP		Standard		10	false						false	false						false																	false		false				false		
249-7600387-9040660	249-7600387-9040660	2023-08-06T16:17:34+09:00	2023-08-07T05:05:18+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロ 	SE-6APE-EDI4	B0782VLBQ7		Shipped			1	JPY	1780.0	132.0								神奈川県	210-0021	JP		Standard		18	false						false	false						false																	false		false				false		
