amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	tax-collection-model	tax-collection-responsible-party	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	payment-method-details	item-extensions-data	points-granted	is-business-order	purchase-order-number	price-designation	buyer-company-name	customized-url	customized-page	is-replacement-order	is-exchange-order	original-order-id	licensee-name	license-number	license-state	license-expiration-date	is-transparency	default-ship-from-address-name	default-ship-from-address-field-1	default-ship-from-address-field-2	default-ship-from-address-field-3	default-ship-from-city	default-ship-from-state	default-ship-from-country	default-ship-from-postal-code	actual-ship-from-address-name	actual-ship-from-address-field-1	actual-ship-from-address-field-2	actual-ship-from-address-field-3	actual-ship-from-city	actual-ship-from-state	actual-ship-from-country	actual-ship-from-postal-code	is-ispu-order	store-chain-store-id	is-buyer-requested-cancellation	buyer-requested-cancel-reason	ioss-number	serial-numbers	is-shipping-settings-automation-enabled	ssa-carrier	ssa-ship-method 
250-9851888-3886246	250-9851888-3886246	2023-10-03T08:51:34+09:00	2023-10-03T08:51:40+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロ 	FK-SQOE-Y997	B0782N7XDJ		Unshipped			1	JPY	1780.0									奈良県	630-0212	JP		Standard		18	false						false	false						false																	false		false				false		
249-5180143-0719855	249-5180143-0719855	2023-10-03T07:34:13+09:00	2023-10-03T07:34:18+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[enbihouse] 【Smart-Bear】T012 キッズ レインコート 女の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防	39-62ZM-5VA7	B0B1VR91S8		Unshipped			1	JPY	2480.0									大阪府	563-0048	JP		Standard		25	false						false	false						false																	false		false				false		
249-5180143-0719855	249-5180143-0719855	2023-10-03T07:34:13+09:00	2023-10-03T07:34:18+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[enbihouse] 【Smart-Bear】T012 キッズ レインコート 女の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防	YO-VMCX-X2PP	B0B1VMTL5F		Unshipped			1	JPY	2480.0									大阪府	563-0048	JP		Standard		25	false						false	false						false																	false		false				false		
249-6428717-3445449	249-6428717-3445449	2023-10-03T06:19:48+09:00	2023-10-03T06:21:18+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W017 可愛い キッズ 子供 靴下 ソックス お姫様 通気 6足 セット カラフル 女の子 薄め (L)	F7-VUUV-OD1C	B07SPWQD3T		Unshipped			1	JPY	1680.0									千葉県	261-0014	JP		Standard		17	false						false	false						false																	false		false				false		
249-7295911-5132654	249-7295911-5132654	2023-10-03T00:53:14+09:00	2023-10-03T03:05:34+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	97-W48L-K89A	B07C7JX67Y		Unshipped			1	JPY	718.0									埼玉県	330-0843	JP		Standard		7	false						false	false						false																	false		false				false		
503-6817410-2112629	503-6817410-2112629	2023-10-03T00:52:24+09:00	2023-10-03T06:08:30+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	T8-FSOJ-B0V1	B07C7PVL42		Unshipped			1	JPY	718.0	53.0								千葉県	260-0032	JP		Standard		7	false						false	false						false																	false		false				false		
250-5635690-4909415	250-5635690-4909415	2023-10-02T23:25:46+09:00	2023-10-03T02:59:30+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	NR-5Z4P-2YBS	B07RNDMDMY		Unshipped			1	JPY	1380.0									東京都	107-0062	JP		Standard		14	false						false	false						false																	false		false				false		
503-3495890-6578258	503-3495890-6578258	2023-10-02T22:06:10+09:00	2023-10-02T22:06:14+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	8Q-VTYS-YQ5Z	B07RNDQ5S7		Unshipped			1	JPY	1580.0									岐阜県	509-0237	JP		Standard		16	false						false	false						false																	false		false				false		
250-9851137-2007049	250-9851137-2007049	2023-10-02T21:47:12+09:00	2023-10-03T02:22:31+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・ 	EV-5CEC-EMJP	B089WGW78M		Shipped			1	JPY	2780.0	206.0					138.0			福島県	966-0072	JP	購入割引 2020/07/11 3-46-27-417	Standard		28	false						false	false						false																	false		false				false		
250-9150533-3850231	250-9150533-3850231	2023-10-02T21:47:12+09:00	2023-10-02T21:47:16+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・ 	XA-MQVG-UFQV	B089WH8GWJ		Unshipped			1	JPY	2780.0									福島県	966-0072	JP	購入割引 2020/07/11 3-46-27-417	Standard		28	false						false	false						false																	false		false				false		
